,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
261,2020,CA-QC Quebec,Good,Never,Male,1980,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private non-profit organization,Lower middle class,7,40,1,0
262,2020,CA-NL Terre-Neuve-et-Labrador,Good,Less than monthly,Female,1983,I am born in this country,Single,Lower secondary education (ISCED 2),Self employed,Private business or industry,Upper middle class,9,37,0,1
263,2020,CA-QC Quebec,Fair,Daily,Female,1983,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,6,37,1,1
264,2020,CA-BC Colombie-Britannique,Fair,Daily,Female,1972,I am born in this country,Married,Upper secondary education (ISCED 3),Other,Government or public institution,Lower middle class,5,48,0,1
265,2020,CA-QC Quebec,Good,Weekly,Male,1988,I am born in this country,Living together as married,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Private business or industry,Upper middle class,7,32,1,0
266,2020,CA-NB Nouveau-Brunswick,Good,Daily,Male,1972,I am born in this country,Separated,Upper secondary education (ISCED 3),Unemployed,Not applicable; Never had a job,Lower middle class,5,48,0,0
267,2020,CA-MB Manitoba,Fair,Never,Male,1969,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,7,51,1,0
268,2020,CA-QC Quebec,Good,Monthly,Female,1991,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Student,Private business or industry,Lower middle class,7,29,0,1
269,2020,CA-ON Ontario,Fair,Daily,Male,1960,I am born in this country,Living together as married,Bachelor or equivalent (ISCED 6),Retired/pensioned,Private business or industry,Working class,6,60,0,0
270,2020,CA-ON Ontario,Fair,Daily,Female,1994,I am born in this country,Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,8,26,1,1
271,2020,CA-QC Quebec,Fair,Daily,Female,1995,I am born in this country,Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Government or public institution,Upper middle class,10,25,1,1
272,2020,CA-BC Colombie-Britannique,Good,Daily,Female,1993,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Student,Government or public institution,Lower middle class,6,27,0,1
273,2020,CA-MB Manitoba,Fair,Daily,Female,1989,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Self employed,Private business or industry,Lower middle class,7,31,0,1
274,2020,CA-NL Terre-Neuve-et-Labrador,Good,Daily,Female,1974,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Self employed,Private business or industry,Upper middle class,9,46,0,1
275,2020,CA-NS Nouvelle-Ecosse,Very good,Daily,Female,1976,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Homemaker not otherwise employed,Private business or industry,Upper middle class,9,44,0,1
