,year,province,health,social_media,sex,birth_year,immigrant,marital_status,education,emp_status,sector,social_class,life_satis,age,employed,female
1812,2020,CA-QC Quebec,Very good,Daily,Male,1985,I am born in this country,Living together as married,Upper secondary education (ISCED 3),Full time (30 hours a week or more),Private business or industry,Lower middle class,8,35,1,0
1813,2020,CA-QC Quebec,Very good,Never,Male,1978,I am an immigrant to this country (born outside this country),Married,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Lower middle class,9,42,1,0
1814,2020,CA-BC Colombie-Britannique,Good,Daily,Female,1954,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Lower middle class,8,66,0,1
1815,2020,CA-ON Ontario,Good,Daily,Female,1958,I am born in this country,Married,Short-cycle tertiary education (ISCED 5),Retired/pensioned,Government or public institution,Upper middle class,9,62,0,1
1816,2020,CA-QC Quebec,Good,Daily,Female,1991,I am born in this country,Single,Post-secondary non-tertiary education (ISCED 4),Full time (30 hours a week or more),Government or public institution,Lower middle class,9,29,1,1
1817,2020,CA-SK Saskatchewan,Fair,Weekly,Female,1954,I am born in this country,Separated,Upper secondary education (ISCED 3),Retired/pensioned,Government or public institution,Lower middle class,8,66,0,1
1818,2020,CA-ON Ontario,Good,Less than monthly,Female,1953,I am born in this country,Married,Post-secondary non-tertiary education (ISCED 4),Retired/pensioned,Private business or industry,Lower middle class,7,67,0,1
1819,2020,CA-BC Colombie-Britannique,Good,Weekly,Male,1987,I am an immigrant to this country (born outside this country),Married,Master or equivalent (ISCED 7),Full time (30 hours a week or more),Private business or industry,Upper middle class,8,33,1,0
1820,2020,CA-NB Nouveau-Brunswick,Poor,Daily,Male,1969,I am born in this country,Single,Short-cycle tertiary education (ISCED 5),Full time (30 hours a week or more),Private business or industry,Lower middle class,4,51,1,0
1821,2020,CA-BC Colombie-Britannique,Good,Daily,Male,1960,I am born in this country,Widowed,Bachelor or equivalent (ISCED 6),Retired/pensioned,Government or public institution,Upper middle class,8,60,0,0
1822,2020,CA-ON Ontario,Good,Weekly,Male,1984,I am born in this country,Single,Primary education (ISCED 1),Full time (30 hours a week or more),Private non-profit organization,Upper middle class,8,36,1,0
1823,2020,CA-ON Ontario,Good,Daily,Male,1985,I am an immigrant to this country (born outside this country),Single,Bachelor or equivalent (ISCED 6),Full time (30 hours a week or more),Private business or industry,Working class,7,35,1,0
